a1; b2; c3; d4; e5; g6; h7; i8
32439; 95.7998;  32433; 96.2154; 32439; -9.52416e-06; 32433; -9.52416e-06
32236; 165.286;  32245; 160.313; 32235; -1.57472e-05; 32248; -1.57472e-05
32037; 233.388;  32055; 225.088; 32027; -2.21375e-05; 32058; -2.21375e-05
31836; 302.19;   31866; 289.526; 31824; -2.84614e-05; 31870; -2.84614e-05
31635; 370.991;  31673; 355.328; 31618; -3.4819e-05; 31681; -3.4819e-05
31634; 371.333;  31673; 355.328; 31618; -3.4819e-05; 31681; -3.4819e-05
31809; 311.432;  31838; 299.072; 31795; -2.93696e-05; 31843; -2.93696e-05
31987; 250.503;  32007; 241.453; 31978; -2.37857e-05; 32009; -2.37857e-05
32167; 188.889;  32178; 183.152; 32161; -1.80337e-05; 32180; -1.80337e-05
32346; 127.618;  32347; 125.532; 32344; -1.24834e-05; 32345; -1.24834e-05
32526; 66.0047;  32519; 66.8902; 32530; -6.73132e-06; 32516; -6.73132e-06
32705; 4.73358;  32689; 8.92989; 32714; -1.04651e-06; 32685; -1.04651e-06
32883; -56.1953; 32858; -48.6894; 32896; 4.60466e-06; 32853; 4.60466e-06
33060; -116.782; 33027; -106.309; 33080; 1.01886e-05; 33019; 1.01886e-05
33243; -179.422; 33198; -164.61; 33263; 1.59406e-05; 33190; 1.59406e-05
33243; -179.422; 33198; -164.61; 33265; 1.59406e-05; 33190; 1.59406e-05
33047; -112.332; 33011; -100.854; 33062; 9.71763e-06; 33005; 9.71763e-06
32845; -43.188;  32820; -35.7336; 32857; 3.32642e-06; 32815; 3.32642e-06
32641; 26.6406;  32628; 29.7274; 32649; -3.03114e-06; 32626; -3.03114e-06
32436; 96.8114;  32435; 95.5294; 32441; -9.52326e-06; 32433; -9.52326e-06
