"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C4,C5,C14,C18,C19,C22,C23,C24,C25,C26,C28,C29,C30,C31,C34,C35,C36,C38,C42,C43,C48,C49,C54,C55,C60,C61,C64,C65,C66,C67,C70,C71,C72,C73,C74,C75,C78,C79,C80,C81,C82,C83,C92,C93,C94,C95,C99";"C_0805_HandSoldering";48;"100n";;;
2;"C2,C3";"C_0805_HandSoldering";2;"18p";;;
3;"C6,C7,C8,C9,C10,C11,C12,C13,C16,C20,C96,C97,C98";"C_0805_HandSoldering";13;"4u7";;;
4;"C15,C32,C33,C68,C69,C76,C77,C84,C86,C88,C90";"C_0805_HandSoldering";11;"1n";;;
5;"C17";"C_0805_HandSoldering";1;"3n";;;
6;"C21,C37";"C_0805_HandSoldering";2;"2n2";;;
7;"C27,C39,C85,C87,C89,C91";"C_Radial_D10_L20_P5";6;"680u";;;
8;"C40,C46,C52,C58";"C_0805_HandSoldering";4;"3u3";;;
9;"C41,C45,C47,C51,C53,C57,C59,C63";"C_0805_HandSoldering";8;"22n";;;
10;"C44,C50,C56,C62";"C_0805_HandSoldering";4;"120n";;;
11;"D1,D2";"LED-3MM";2;"LED";;;
12;"D3,D4";"Diode_DO-41_SOD81_Horizontal_RM10";2;"1n5819";;;
13;"L1,L2";"my_inductance";2;"100uH";;;
14;"P2";"Pin_Header_Straight_1x01";1;"~rst~";;;
15;"P3";"Socket_Strip_Angled_1x13";1;"ext";;;
16;"P4";"BNC_Socket_TYCO-AMP_LargePads";1;"trig";;;
17;"P5";"Pin_Header_Angled_1x03";1;"trig-mode";;;
18;"P7";"BNC_Socket_TYCO-AMP_LargePads";1;"out-0";;;
19;"P8";"BNC_Socket_TYCO-AMP_LargePads";1;"out-1";;;
20;"P9";"BNC_Socket_TYCO-AMP_LargePads";1;"in-0";;;
21;"P10";"BNC_Socket_TYCO-AMP_LargePads";1;"in-2";;;
22;"P11";"BNC_Socket_TYCO-AMP_LargePads";1;"in-3";;;
23;"P12";"BNC_Socket_TYCO-AMP_LargePads";1;"in-1";;;
24;"R1,R4,R6,R7,R11,R19,R20,R25,R39,R75,R76";"R_0805_HandSoldering";11;"10k 5%";;;
25;"R2,R3,R9,R90,R91,R92,R93";"R_0805_HandSoldering";7;"1k 5%";;;
26;"R5,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R94,R95";"R_0805_HandSoldering";16;"100 5%";;;
27;"R8,R10";"R_0805_HandSoldering";2;"33k 5%";;;
28;"R12,R13";"R_0805_HandSoldering";2;"10k";;;
29;"R14";"R_0805_HandSoldering";1;"0";;;
30;"R15";"R_0805_HandSoldering";1;"10 5%";;;
31;"R16,R38";"R_0805_HandSoldering";2;"0.15 5%";;;
32;"R17,R42";"R_0805_HandSoldering";2;"1k1 1%";;;
33;"R18";"R_0805_HandSoldering";1;"1k5 5%";;;
34;"R21,R23";"R_0805_HandSoldering";2;"8k2 5%";;;
35;"R22,R24";"R_0805_HandSoldering";2;"1 5%";;;
36;"R26";"R_0805_HandSoldering";1;"13k 5%";;;
37;"R27,R28,R29,R30,R31,R32,R45,R46,R51,R52,R57,R58,R63,R64,R67,R68,R69,R70,R71,R72,R73,R74";"R_0805_HandSoldering";22;"16 5%";;;
38;"R33";"R_0805_HandSoldering";1;"120k 5%";;;
39;"R34,R36";"R_0805_HandSoldering";2;"1k6 5%";;;
40;"R35,R37";"R_0805_HandSoldering";2;"3k3 5%";;;
41;"R40,R41";"R_0805_HandSoldering";2;"12k 5%";;;
42;"R43,R49,R55,R61";"R_0805_HandSoldering";4;"806 1%";;;
43;"R44,R50,R56,R62";"R_0805_HandSoldering";4;"1k91 1%";;;
44;"R47,R53,R59,R65";"R_0805_HandSoldering";4;"9k31 1%";;;
45;"R48,R54,R60,R66";"R_0805_HandSoldering";4;"21k 1%";;;
46;"stm321";"LQFP48";1;"STM32F103CBT6";;;
47;"U1,U2,U3,U4,U5,U6,U7,U8,U9,U100,U101";"SOIC-8_3.9x4.9mm_Pitch1.27mm";11;"AD8672";;;
48;"U10";"CRYSTAL-SMD-5x3";1;"crystal-4pin";;;
49;"U13";"SOT-23";1;"BAT54S";;;
50;"U16";"SOT-23";1;"MCP1703T-3302E/CB";;;
51;"U17";"MSOP-8_3x3mm_Pitch0.65mm";1;"AD7683";;;
52;"U18,U20";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"NCP3063";;;
53;"U19";"TSSOP-14_4.4x5mm_Pitch0.65mm";1;"ADG5204";;;
54;"U21,U22,U23,U24";"SOIC-8_3.9x4.9mm_Pitch1.27mm";4;"AD5543";;;
55;"P13";"USB_B";1;"USB_B";;;
56;"P1";"Pin_Header_Angled_1x02";1;"mode";;;
57;"P6";"Socket_Strip_Straight_1x03";1;"swd";;;
58;"L7,L8,L3,L4,L5,L6";"C_1206_HandSoldering";6;"47uH";;;
59;"U12,U14";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"adr4533";;;
60;"U15";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"ADT7410";;;
61;"C100";"C_0805_HandSoldering";1;"60p";;;
62;"C101";"C_0805_HandSoldering";1;"220p";;;
63;"C102";"C_0805_HandSoldering";1;"100p";;;
64;"P14,P15,P16,P17";"douille_4mm";4;"screw";;;
65;"U11";"CP2102";1;"CP2102";;;
